label,all_image_count,training_image_count
C8H10O4S|-H,5,5
C8H14N2O5S|-H,2,2
C8H14N2O6|-H,1,1
C8H15NO6|+Cl,2,2
C8H16FN3O2|-H,1,1
C8H20NO6P|+Cl,3,3
C8H8N2O2S2|-H,1,1
C8H9NO4|+Cl,2,2
C9H10ClNO3|[M]-,1,1
C9H10NO3|+Cl,1,1
C9H12N2O6|+Cl,2,2
C9H12N2O6|-H,1,1
C9H13N2O8P|-H,1,1
C9H13N3O5|-H,2,2
C9H16N6O2|-H,1,1
C9H16O4|+Cl,2,2
C9H16O9|-H,1,1
C9H17NO4|-H,1,1
C9H17NO5|-H,1,1
C9H17NO8|+Cl,2,2
C9H18NO8P|-H,2,2
C9H18O9|-H,1,1
C9H19NO4|+Cl,1,1
CdCl2|+Cl,1,1
H4O7P2|+Cl,2,2
