variant,repetition,class_index,quintile,average_precision
0006,3,447.0,4,0.7929385589159237
0006,3,461.0,2,0.5484779575670871
0006,3,490.0,1,0.9508594384070157
0006,3,493.0,3,0.6863246716740531
0006,4,24.0,1,0.11777091182103361
0006,4,36.0,2,0.679783484568871
0006,4,57.0,1,0.17303461340670548
0006,4,82.0,4,0.33242646798857994
0006,4,105.0,1,0.5461414396800874
0006,4,106.0,1,0.3278219482128243
0006,4,124.0,4,0.6191430091896097
0006,4,126.0,0,0.25779364776174146
0006,4,130.0,4,0.7098205075923212
0006,4,135.0,4,0.6835040342308614
0006,4,142.0,4,0.7186681781219175
0006,4,173.0,4,0.6721743157565783
0006,4,175.0,3,0.2504735299694193
0006,4,177.0,0,0.25268686540224616
0006,4,179.0,0,0.0004233144466115453
0006,4,187.0,0,0.0021504814124852665
0006,4,214.0,4,0.7689524966226309
0006,4,218.0,3,0.24480731601679262
0006,4,219.0,3,0.23707645519785134
0006,4,263.0,2,0.0994640159732015
0006,4,326.0,4,0.029857250705029318
0006,4,335.0,3,0.24532091890937785
0006,4,340.0,4,0.06695210237159913
0006,4,357.0,1,0.4006854477778665
0006,4,372.0,4,0.5596958629734076
0006,4,387.0,2,0.5886217195992328
0006,4,394.0,4,0.5403223224759367
0006,4,447.0,4,0.701786641149295
0006,4,461.0,2,0.6110738938003637
0006,4,490.0,1,0.9301021593480423
0006,4,493.0,3,0.6948810728206235
0007,0,24.0,1,0.08617531086020319
0007,0,36.0,2,0.5636633305248502
0007,0,57.0,1,0.21404120173213714
0007,0,82.0,4,0.33749783586367493
0007,0,105.0,1,0.5428183126819339
0007,0,106.0,1,0.18574351089965066
0007,0,124.0,4,0.29054593733482054
0007,0,126.0,0,0.44060105801437355
0007,0,130.0,4,0.6925281795645534
0007,0,135.0,4,0.379582852968633
0007,0,142.0,4,0.9694826005379148
0007,0,173.0,4,0.2729724397838679
0007,0,175.0,3,0.2450868496557959
0007,0,177.0,0,0.2576657604814998
0007,0,179.0,0,0.00040343303969680414
0007,0,187.0,0,0.44430518909410727
0007,0,214.0,4,0.31072490810051734
0007,0,218.0,3,0.24623008084428316
0007,0,219.0,3,0.23893833507724108
0007,0,263.0,2,0.09384232427906303
0007,0,326.0,4,0.1683253717468125
0007,0,335.0,3,0.24580153096905946
0007,0,340.0,4,0.2953789196496595
0007,0,357.0,1,0.36596658423952577
0007,0,372.0,4,0.29316386096436026
0007,0,387.0,2,0.7524186897601544
0007,0,394.0,4,0.3127327205148995
0007,0,447.0,4,0.3170472490884834
0007,0,461.0,2,0.49139732893225513
0007,0,490.0,1,0.8639802314411997
0007,0,493.0,3,0.6975145238199552
0007,1,24.0,1,0.0834056057907203
0007,1,36.0,2,0.49223514502199034
0007,1,57.0,1,0.22570279826224549
0007,1,82.0,4,0.35140405910989914
0007,1,105.0,1,0.5201222654003191
0007,1,106.0,1,0.21607187630084232
0007,1,124.0,4,0.323954053903366
0007,1,126.0,0,0.6463823082412028
0007,1,130.0,4,0.8574256331351521
0007,1,135.0,4,0.5248079024571607
0007,1,142.0,4,0.7496100053543063
0007,1,173.0,4,0.33923979042259655
0007,1,175.0,3,0.2606563225488316
0007,1,177.0,0,0.2537383616822688
0007,1,179.0,0,0.00041768162745122383
0007,1,187.0,0,0.0023946388988353184
0007,1,214.0,4,0.49284434734763954
0007,1,218.0,3,0.2617302409647319
0007,1,219.0,3,0.2567081619822824
0007,1,263.0,2,0.08299407725248985
0007,1,326.0,4,0.06944656262406958
0007,1,335.0,3,0.2615694302775227
0007,1,340.0,4,0.11475182264500672
0007,1,357.0,1,0.3684477149270232
0007,1,372.0,4,0.29002657309835783
0007,1,387.0,2,0.6996489787134306
0007,1,394.0,4,0.30561526595421284
0007,1,447.0,4,0.31098800199812604
0007,1,461.0,2,0.5049080412282212
0007,1,490.0,1,0.8249329062003192
0007,1,493.0,3,0.7024988456853017
0007,2,24.0,1,0.13048322900963966
0007,2,36.0,2,0.6061760818787755
0007,2,57.0,1,0.20007962788511519
0007,2,82.0,4,0.3530171573854384
0007,2,105.0,1,0.6035755609188689
0007,2,106.0,1,0.08656146333830265
0007,2,124.0,4,0.3747657203666144
0007,2,126.0,0,0.911546111024039
0007,2,130.0,4,0.9551033400642586
0007,2,135.0,4,0.8684016633166938
0007,2,142.0,4,0.9565080732101063
0007,2,173.0,4,0.5229995491260012
0007,2,175.0,3,0.254973325861645
0007,2,177.0,0,0.26121041030374004
